Breach Submission Date,(Multiple Items),,,,,Incl Dec,breaches,individuals affected,,Exclude Dec,breaches,individuals affected
,,,,,,2010,199,"5,932,276",,2010,182,"5,877,185"
Row Labels,Count of breach_id,Sum of Individuals Affected,,,,2011,200,"13,162,158",,2011,186,"13,086,846"
<10/21/09,,,,,,2012,218,"2,854,525",,2012,199,"2,633,808"
2009,12,37921,,,,2013,277,"7,018,839",,2013,249,"6,803,074"
2010,182,5877185,,,,2014,314,"19,073,551",,2014,298,"18,768,770"
2011,186,13086846,,,,2015,270,"113,307,814",,2015,246,"113,179,256"
2012,199,2633808,,,,2016,329,"16,659,090",,2016,297,"15,198,311"
2013,249,6803074,,,,2017,358,"5,131,289",,2017,319,"4,789,029"
2014,298,18768770,,,,2018,371,"13,948,317",,2018,346,"13,381,354"
2015,246,113179256,,,,2019,512,"41,678,765",,2019,471,"41,280,903"
2016,297,15198311,,,,2020,580,"25,289,248",,2020,576,"24,726,541"
2017,319,4789029,,,,,,,,,,
2018,346,13381354,,,,,,,,,,
2019,471,41280903,,,,,,,,,,
2020,576,24726541,,,,,,,,,,
Grand Total,3381,259762998,,,,,,,,,,